clave_ent,ent,anio,trimestre,pesos_constantes,canasta_alimentaria,desagregacion
2,Baja California,2013,1,2269.56,2152.84,Estatal
2,Baja California,2013,2,2366.37,2233.8,Estatal
2,Baja California,2013,3,2277.04,2151.86,Estatal
2,Baja California,2013,4,2272.19,2138.48,Estatal
2,Baja California,2014,1,2166.02,2022.04,Estatal
2,Baja California,2014,2,2199.29,2071.98,Estatal
2,Baja California,2014,3,2111.31,1969.71,Estatal
2,Baja California,2014,4,2137.92,1974.84,Estatal
2,Baja California,2015,1,2135.09,2005.52,Estatal
2,Baja California,2015,2,2143.94,2003.16,Estatal
2,Baja California,2015,3,2116.98,1963.26,Estatal
2,Baja California,2015,4,2163.42,2001.78,Estatal
2,Baja California,2016,1,2182,1986.72,Estatal
2,Baja California,2016,2,2255.6,2062.05,Estatal
2,Baja California,2016,3,2405.77,2221.19,Estatal
2,Baja California,2016,4,2290.87,2099.46,Estatal
2,Baja California,2017,1,2220.44,2065.1,Estatal
2,Baja California,2017,2,2299.54,2102.45,Estatal
2,Baja California,2017,3,2206.1,1952.72,Estatal
2,Baja California,2017,4,2248.27,2015.84,Estatal
2,Baja California,2018,1,2364.15,2150.62,Estatal
2,Baja California,2018,2,2477.95,2262.43,Estatal
2,Baja California,2018,3,2306.81,2086.5,Estatal
2,Baja California,2018,4,2327.8,2110.27,Estatal
2,Baja California,2019,1,2618.82,2353.41,Estatal
2,Baja California,2019,2,2614,2352.87,Estatal
2,Baja California,2019,3,2675.36,2414.55,Estatal
2,Baja California,2019,4,2580.07,2339.49,Estatal
2,Baja California,2020,1,2624.13,2342.61,Estatal
2,Baja California,2020,3,2343.9,2067.95,Estatal
2,Baja California,2020,4,2396.11,2118.22,Estatal
3,Baja California Sur,2005,1,2816.4,3155.13,Estatal
3,Baja California Sur,2005,2,2903.59,3139.44,Estatal
3,Baja California Sur,2005,3,2917.74,3174.07,Estatal
3,Baja California Sur,2005,4,3048.79,3378.58,Estatal
3,Baja California Sur,2006,1,2893.82,3172.84,Estatal
3,Baja California Sur,2006,2,3267.75,3613.55,Estatal
3,Baja California Sur,2006,3,3140.44,3427.88,Estatal
3,Baja California Sur,2006,4,3558.72,3782.35,Estatal
3,Baja California Sur,2007,1,3271.05,3450.61,Estatal
3,Baja California Sur,2007,2,3300.94,3529.02,Estatal
